item_id,transaction_id,product_id,quantity,unit_price,discount_percentage,line_total
ITEM0000001,TXN0000001,PROD000008,1,488.8,0,488.8
ITEM0000002,TXN0000001,PROD000213,3,16.82,0,50.46
ITEM0000003,TXN0000001,PROD000286,5,327.52,5,1555.72
ITEM0000004,TXN0000002,PROD000070,1,98.96,20,79.17
ITEM0000005,TXN0000003,PROD000196,5,459.63,0,2298.15
ITEM0000006,TXN0000003,PROD000377,3,273.75,0,821.25
ITEM0000007,TXN0000003,PROD000104,4,433.95,15,1475.43
ITEM0000008,TXN0000004,PROD000252,2,385.35,10,693.63
ITEM0000009,TXN0000004,PROD000031,1,473.04,20,378.43
ITEM0000010,TXN0000004,PROD000229,2,298.01,0,596.02
ITEM0000011,TXN0000005,PROD000184,3,456.73,15,1164.66
ITEM0000012,TXN0000006,PROD000160,4,478.51,20,1531.23
ITEM0000013,TXN0000007,PROD000367,1,294.53,10,265.08
ITEM0000014,TXN0000007,PROD000333,5,417.07,5,1981.08
ITEM0000015,TXN0000007,PROD000137,4,31.21,20,99.87
ITEM0000016,TXN0000008,PROD000316,2,296.33,10,533.39
ITEM0000017,TXN0000008,PROD000026,5,168.55,0,842.75
ITEM0000018,TXN0000008,PROD000241,2,55.96,15,95.13
ITEM0000019,TXN0000009,PROD000071,1,202.68,20,162.14
ITEM0000020,TXN0000010,PROD000344,4,442.27,15,1503.72
ITEM0000021,TXN0000010,PROD000169,4,215.25,5,817.95
ITEM0000022,TXN0000010,PROD000469,3,388.12,5,1106.14
ITEM0000023,TXN0000011,PROD000339,3,490.0,10,1323.0
ITEM0000024,TXN0000011,PROD000359,4,485.67,5,1845.55
ITEM0000025,TXN0000011,PROD000079,3,354.15,20,849.96
ITEM0000026,TXN0000011,PROD000053,5,395.44,20,1581.76
ITEM0000027,TXN0000012,PROD000427,3,81.05,15,206.68
ITEM0000028,TXN0000013,PROD000073,4,168.98,5,642.12
ITEM0000029,TXN0000013,PROD000334,3,208.74,15,532.29
ITEM0000030,TXN0000013,PROD000167,1,263.29,0,263.29
ITEM0000031,TXN0000014,PROD000131,4,443.09,5,1683.74
ITEM0000032,TXN0000014,PROD000138,5,26.59,10,119.65
ITEM0000033,TXN0000015,PROD000433,1,164.23,20,131.38
ITEM0000034,TXN0000015,PROD000101,5,439.06,20,1756.24
ITEM0000035,TXN0000016,PROD000014,5,188.28,20,753.12
ITEM0000036,TXN0000016,PROD000124,3,285.17,5,812.73
ITEM0000037,TXN0000016,PROD000180,1,230.91,20,184.73
ITEM0000038,TXN0000016,PROD000010,1,241.81,15,205.54
ITEM0000039,TXN0000016,PROD000191,2,136.19,10,245.14
ITEM0000040,TXN0000017,PROD000411,1,446.95,10,402.25
ITEM0000041,TXN0000017,PROD000195,5,24.77,0,123.85
ITEM0000042,TXN0000017,PROD000153,3,295.8,0,887.4
ITEM0000043,TXN0000017,PROD000117,4,254.76,0,1019.04
ITEM0000044,TXN0000017,PROD000240,3,318.94,20,765.46
ITEM0000045,TXN0000018,PROD000068,5,157.67,10,709.51
ITEM0000046,TXN0000018,PROD000056,4,66.0,0,264.0
ITEM0000047,TXN0000018,PROD000140,3,481.01,20,1154.42
ITEM0000048,TXN0000018,PROD000123,5,370.48,20,1481.92
ITEM0000049,TXN0000018,PROD000396,3,299.32,10,808.16
ITEM0000050,TXN0000019,PROD000241,5,55.96,0,279.8
ITEM0000051,TXN0000019,PROD000262,4,194.9,10,701.64
ITEM0000052,TXN0000019,PROD000131,5,443.09,5,2104.68
ITEM0000053,TXN0000019,PROD000245,3,354.89,5,1011.44
ITEM0000054,TXN0000019,PROD000115,3,265.12,15,676.06
ITEM0000055,TXN0000020,PROD000232,1,189.35,15,160.95
ITEM0000056,TXN0000020,PROD000410,3,168.6,15,429.93
ITEM0000057,TXN0000020,PROD000295,5,86.5,20,346.0
ITEM0000058,TXN0000021,PROD000021,2,361.99,15,615.38
ITEM0000059,TXN0000021,PROD000294,5,192.05,5,912.24
